Name,Disaster,Begin Date,End Date,Summary,CPI-Adjusted Cost,Deaths
Oakland Firestorm (October 1991),Wildfire,01/10/1991,31/10/1991,"Oakland, California firestorm due to low humidity and high winds burned over 3,000 homes. This was the costliest urban wildfire to affect the United States since 1980 when it occurred.",7.5,25
U.S. Drought (Spring-Summer 1991),Drought,01/03/1991,31/08/1991,"Drought conditions over parts of the West, Central and eastern U.S. most affected the states IL, IN, KS, MN, OH, OR, PA, SD, and WA.",7.0,0
Hurricane Bob (August 1991),Tropical Cyclone,18/08/1991,20/08/1991,Category 2 hurricane brushes the Outer Banks of North Carolina before making landfall in Rhode Island. Its impacts were felt from North Carolina to Long Island and into New England.,3.4,18
"Severe Storms, Tornadoes (March 1991)",Severe Storm,26/03/1991,29/03/1991,"Severe storms hit the Midwest, Southeast, Northeast. The states impacted include KS, IL, MI, IN, MS, TN, KY, OH, AL, PA, NY, GA, SC and NC.",1.5,0
California Freeze (December 1990),Freeze,18/12/1990,25/12/1990,"Severe freeze in the Central and Southern San Joaquin Valley caused the loss of citrus, avocado trees, and other crops in many areas. Several days of subfreezing temperatures occurred, with some valley locations in the teens.",8.3,0
Western Fire Season (Summer 1990),Wildfire,01/06/1990,31/08/1990,"Severe wildfire season in the western states due to drought and frequent winds, with more than 4.5 million acres burned nationally.",1.7,17
Colorado Hail Storm (July 1990),Severe Storm,11/07/1990,11/07/1990,"Denver, CO (including airport) hit by severe hail storm. This was the costliest hail storm on record for Colorado when it occurred.",2.0,0
Southern Flooding (May 1990),Flooding,11/05/1990,19/05/1990,"Torrential rains cause flooding along the Trinity, Red, and Arkansas Rivers in TX, OK, LA, and AR",2.4,13
"Winter Storm, Cold Wave (December 1989)",Winter Storm,21/12/1989,26/12/1989,"Winter storm and deep cold impacts the Northeast, South and Southeast. The states impacted include AL, AR, CT, FL, GA, IL, IN, KY, LA, ME, MO, MS, NC, NH, NY, OH, OK, PA, SC, TN, TX, VA, VT and WV.",1.7,100
Florida Freeze (December 1989),Freeze,23/12/1989,25/12/1989,Severe freeze damages citrus crops across central/northern Florida.,5.2,10
Northern Plains Drought (Summer-Fall 1989),Drought,01/06/1989,30/11/1989,"Severe summer drought over much of the northern plains with significant losses to agriculture. The states impacted include CO, IA, IL, KS, MO, ND, NE, NV, SD, TX and UT.",7.7,0
Hurricane Hugo (September 1989),Tropical Cyclone,21/09/1989,22/09/1989,Category 4 hurricane devastates South and North Carolina with ~20 foot storm surge and severe wind damage after hitting Puerto Rico and the U.S. Virgin Islands,22.5,86
Tropical Storm Allison (June 1989),Tropical Cyclone,26/06/1989,28/06/1989,Flooding from Tropical Storm Allison (1989) impacted Texas and Louisiana for days as Allison tracked inland. Most all of the damage was from flooding due to heavy rainfall with 20-25 inches in some locations. The slow progression of Allison also contributed to the increased rainfall totals.,1.5,11
Southern Derecho and Severe Storms (May 1989),Severe Storm,01/05/1989,06/05/1989,"A derecho caused high wind damage across much of Texas into Louisiana. Severe storms cause damage in states across the South and Southeast. The states impacted include OK, TX, LA, MS, GA, SC, NC and VA.",1.4,21
U.S. Drought/Heat Wave (Summer 1988),Drought,01/06/1988,31/08/1988,"1988 drought across a large portion of the U.S. with very severe losses to agriculture and related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 5,000.",54.0,454
Michigan Flooding (September 1986),Flooding,10/09/1986,12/09/1986,"Rainfall over a two-day period was 8 to 13 inches. Across Central Lower Michigan, 22 counties were declared disaster areas. Thousands of homes suffered first floor or basement damage throughout Michigan. More than 3,600 miles of roadways were impassable as the result of the failure of four primary road bridges and hundreds of secondary road bridges and culverts. A total of 14 dams were undermined. Thousands of acres of crops including sugar beets, beans, potatoes, corn, and other vegetables were ruined.",1.1,10
Southeast Drought/Heat Wave (Summer 1986),Drought,01/06/1986,31/08/1986,"Severe summer drought in parts of the southeastern U.S. with severe losses to agriculture. The states impacted include AL, AR, GA, LA, MS, NC, SC, TN and VA.",5.1,100
Western Severe Storms and Flooding (February 1986),Severe Storm,14/02/1986,16/02/1986,"Severe storms and flooding affect the states CA, CO, NV, OR, WY across the West.",1.5,13
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,03/11/1985,08/11/1985,"Historic flooding damaged or destroyed over 10,000 homes and businesses across West Virginia and Virginia. Rainfall exceeded 19 inches, which forced the Roanoke and James Rivers, among others, to record levels. The damage in Virginia was most severe in the towns of Roanoke and Richmond. In Pennsylvania, floods also damaged or destroyed several thousand homes. Maryland experiened severe but more isolated flooding and damage.",4.0,62
Hurricane Juan (October 1985),Tropical Cyclone,27/10/1985,31/10/1985,"Category 1 hurricane makes landfall near Morgan City, Louisiana. Hurricane Juan's slow movement causes severe flooding in Louisiana, Mississippi, Alabama and Florida. Southern Louisiana was most severely affected due to widespread rainfall of 10-15 inches that caused substantial flooding.",4.3,63
Hurricane Gloria (September 1985),Tropical Cyclone,26/09/1985,28/09/1985,"Category 2 hurricane makes several landfalls along the eastern seaboard, affecting states from North Carolina to Maine.",2.5,11
Hurricane Elena (September 1985),Tropical Cyclone,30/08/1985,03/09/1985,"Category 3 hurricane approaches the Florida Panhandle prior to landfall near Biloxi, Mississippi. Considerable wind and rain impacts were felt from Florida to Louisiana.",3.7,4
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,31/05/1985,31/05/1985,"Historic tornado outbreak caused widespread damage across eastern Ohio, western Pennsylvania into New York and Canada. Dozens of tornadoes caused widespread destruction to many homes, businesses, farms and infrastructure. 89 people also lost their lives, which made this tornado outbreak the most deadly across the U.S. during the 1980s. There were also more than 1,000 reports of injury.",1.7,89
Florida Freeze (January 1985),Freeze,20/01/1985,22/01/1985,Severe freeze over central/northern Florida damages citrus crops.,3.6,0
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19/01/1985,22/01/1985,"Extreme cold and winter storms in the Southeast, South, Southwest, Northeast, Midwest, and North",2.5,150
Severe Storms and Hail (June 1984),Severe Storm,13/06/1984,17/06/1984,"Severe storms and hail impact Colorado, South Dakota and Nebraska.",1.3,1
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,27/03/1984,07/04/1984,"States in the Southeast and Northeast regions are impacted by tornadoes, severe storms, and flooding. The states impacted include GA, FL, SC, NC, VA, MD, DE, NJ, NY, PA, CT, MA and RI.",1.8,80
Freeze/Cold Wave (December 1983),Freeze,15/12/1983,25/12/1983,Severe freeze damages citrus crops across central/northern Florida. Associated cold wave over much of the U.S. causes over 100 deaths and additional damages.,6.4,151
Arizona Flooding (October 1983),Flooding,29/09/1983,03/10/1983,"Throughout the state, excessive rainfall caused many rivers to overflow. After the rain ended the Santa Cruz, Rillito and Gila rivers experienced their highest crests on record. Five towns including Clifton, Duncun, Winkelman, Hayden and Marana were alomost completely flooded. In Marana many homes were submerged forcing residents to be evacuated. Over 700 homes were destroyed in Clifton. In addition, 86 of the town's 126 businesses were heavily damaged due to the flooding. Around 3,000 buildings were destroyed due to this flooding.",1.2,14
Southeast Drought (Summer 1983),Drought,01/06/1983,31/08/1983,"1983 flash drought in the southeastern U.S. with losses to agriculture, most notably corn and soybeans. The states impacted include AL, AR, GA, KY, LA, MO, MS, NC, SC, TN and VA.",9.5,0
Hurricane Alicia (August 1983),Tropical Cyclone,17/08/1983,20/08/1983,"Category 3 hurricane makes landfall near Galveston, Texas with maximum sustained winds 115 mph. Hurricane Alicia was the first hurricane to hit the United States mainland since Hurricane Allen in August 1980.",9.4,21
Western Storms and Flooding (December 1982-March 1983),Flooding,13/12/1982,31/03/1983,"Severe storms and flooding, especially in the states of WA, OR, CA, AZ, NV, ID, UT, and MT",4.8,50
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,01/12/1982,15/01/1983,"Severe storms and flooding, especially in the states of TX, AR, LA, MS, AL, GA, and FL",4.9,45
Severe Storms (June 1982),Severe Storm,31/05/1982,10/06/1982,"Severe storms cause damage across the South, Southeast and Central regions. The states impacted include AR, IL, KY, IN, SC, GA and OH.",1.6,30
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,02/04/1982,04/04/1982,"Tornadoes and severe weather affect the states (AL, AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, OH, OK, PA, TN, TX, WI, WV) across the Midwest, Plains and Southeast.",1.6,33
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,08/01/1982,16/01/1982,"Winter storm and cold wave affect numerous states (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV) across the Midwest, Southeast and Northeast.",2.2,85
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,05/05/1981,10/05/1981,"Severe storms cause damage across the Midwest and South. The states most impacted include TX, OK, KS, AL and LA.",1.4,20
Florida Freeze (January 1981),Freeze,12/01/1981,14/01/1981,"Severe freeze heavily damaged fruit crops across Florida. Over 25,000 Florida farms were impacted and sustained losses.",2.1,0
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,01/06/1980,30/11/1980,"Central and eastern U.S. drought/heat wave caused damage to agriculture and other related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 10,000.",40.2,"1,260"
Hurricane Allen (August 1980),Tropical Cyclone,07/08/1980,11/08/1980,"Category 3 hurricane makes landfall north of Brownsville, Texas with maximum sustained winds of 115 mph. Hurricane Allen causes rainfall up to 20 inches in southern Texas and storm surge as high as 12 feet along the coast.",2.2,13
Southern Severe Storms and Flooding (April 1980),Flooding,10/04/1980,17/04/1980,"Severe storms and flooding affect several states (AR, LA, MS) across the South.",2.7,7
